Treatment,PlantNo,FW_g,LA_cm2,A663.8,A646.8,A480.0,A750.0
Ctrl,25,0.0155,2.955924528,0.664,0.226,0.557,-0.05
Ctrl,30,0.0167,2.955924528,0.661,0.227,0.56,-0.051
Ctrl,32,0.0183,2.955924528,0.672,0.227,0.572,-0.05
TrtmA,28,0.0177,2.955924528,0.764,0.267,0.662,-0.042
TrtmA,39,0.0168,2.955924528,0.706,0.238,0.621,-0.047
TrtmA,14,0.0183,2.955924528,0.795,0.272,0.684,-0.046
TrtmB,48,0.0173,2.955924528,0.644,0.216,0.557,-0.048
TrtmB,16,0.0153,2.955924528,0.653,0.217,0.568,-0.047
TrtmB,6,0.0182,2.955924528,0.697,0.232,0.604,-0.046
